name,location,rest_type,cuisines,cost,online_order,book_table,rate,votes,type
Chaatimes,Basavanagudi,Quick Bites,"Street Food, Fast Food",200.0,Yes,No,3.8,133,Delivery
Havyaka Mess,Banashankari,Mess,South Indian,300.0,No,No,3.9,28,Delivery
McDonald's,Banashankari,Quick Bites,"Burger, Fast Food",500.0,Yes,No,3.9,286,Delivery
Domino's Pizza,Banashankari,Quick Bites,"Pizza, Fast Food",800.0,Yes,No,3.9,540,Delivery
Hotboxit,Banashankari,Delivery,"North Indian, Continental, Italian",400.0,No,No,3.8,36,Delivery
Kitchen Garden,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",300.0,Yes,No,3.6,244,Delivery
Recipe,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450.0,Yes,No,4.0,804,Delivery
Beijing Bites,Rajarajeshwari Nagar,Casual Dining,"Chinese, Thai",850.0,Yes,No,3.7,679,Delivery
Tasty Bytes,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese, Momos, Rolls",300.0,Yes,No,3.1,245,Delivery
Petoo,Banashankari,Quick Bites,North Indian,450.0,No,No,3.7,21,Delivery
Shree Cool Point,Vijay Nagar,Quick Bites,"Fast Food, Street Food, Beverages",150.0,Yes,No,4.1,28,Delivery
Corner House Ice Cream,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400.0,No,No,4.3,345,Delivery
Biryanis And More,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750.0,Yes,No,4.0,618,Delivery
Roving Feast,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450.0,No,No,4.0,1047,Delivery
FreshMenu,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450.0,Yes,No,3.9,627,Delivery
Banashankari Donne Biriyani,Banashankari,Quick Bites,"Biryani, Fast Food",300.0,Yes,No,3.8,104,Delivery
Wamama,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800.0,Yes,Yes,4.2,354,
Five Star Chicken,Banashankari,Quick Bites,"Fast Food, Burger",200.0,No,No,3.6,55,Delivery
XO Belgian Waffle,Banashankari,Dessert Parlor,"Desserts, Beverages",400.0,Yes,No,3.7,17,Delivery
Peppy Peppers,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800.0,No,No,4.2,244,
Goa 0 Km,Kumaraswamy Layout,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800.0,Yes,Yes,3.6,163,Delivery
Chinese Kitchen,Basavanagudi,Quick Bites,Chinese,150.0,Yes,No,3.8,58,Delivery
1947,Banashankari,Casual Dining,"North Indian, Chinese",850.0,No,Yes,4.0,808,Delivery
Cake of the Day,Banashankari,"Bakery, Dessert Parlor",Bakery,150.0,No,No,3.7,78,Delivery
Kabab Magic,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400.0,Yes,No,4.1,1720,Delivery
Namma Brahmin's Idli,Jayanagar,Quick Bites,South Indian,100.0,Yes,No,3.6,34,Delivery
Gustoes Beer House,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200.0,No,No,4.1,868,Delivery
Sugar Rush,Banashankari,Bakery,"Bakery, Desserts",300.0,No,No,3.8,39,Delivery
Burger King,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600.0,Yes,No,3.2,71,Delivery
The Good Bowl,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500.0,Yes,No,3.6,6,Delivery
The Biryani Cafe,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300.0,No,No,4.1,520,Delivery
LSD Cafe,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700.0,No,No,2.9,84,
Rolls On Wheels,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300.0,No,No,3.6,299,Delivery
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,Quick Bites,South Indian,150.0,Yes,No,4.1,558,Delivery
Devanna Dum Biriyani Centre,Banashankari,Quick Bites,"Biryani, South Indian",300.0,Yes,No,3.6,28,Delivery
Kolbeh,Banashankari,Quick Bites,Fast Food,500.0,No,No,3.7,22,Delivery
Upahar Sagar,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350.0,No,No,3.8,39,Delivery
Kadalu Sea Food Restaurant,Vijay Nagar,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500.0,Yes,No,3.8,153,Delivery
Frozen Bottle,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400.0,Yes,No,4.2,146,Delivery
Parimala Sweets,Banashankari,Sweet Shop,"Mithai, Street Food",200.0,No,No,3.5,14,Delivery
Vaishali Deluxe,Banashankari,Casual Dining,"North Indian, Chinese",700.0,No,No,3.8,42,Delivery
The Big O Bakes,Banashankari,Bakery,"Bakery, Desserts",300.0,No,No,4.0,66,Delivery
Meghana Foods,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600.0,Yes,No,4.4,4401,Delivery
Krishna Sagar,Banashankari,Quick Bites,North Indian,200.0,No,No,3.5,31,Delivery
Dessert Rose,Banashankari,Dessert Parlor,Desserts,500.0,No,No,3.5,7,Delivery
Chickpet Donne Biryani House,Banashankari,Quick Bites,Biryani,250.0,No,No,3.7,21,Delivery
Thanco's Natural Ice Creams,Banashankari,Dessert Parlor,Ice Cream,300.0,No,No,3.2,9,Delivery
Nandhini Deluxe,Banashankari,Casual Dining,North Indian,600.0,No,No,2.6,283,Delivery
Vi Ra's Bar and Restaurant,Banashankari,Bar,"South Indian, North Indian, Chinese",800.0,No,No,3.3,62,Delivery
Kaggis,Banashankari,Quick Bites,"Fast Food, Bakery",250.0,No,No,3.8,64,Delivery
Ayda Persian Kitchen,Banashankari,Casual Dining,"North Indian, Iranian",950.0,No,No,3.7,39,Delivery
Chatar Patar,Banashankari,Quick Bites,"Fast Food, Street Food",300.0,No,No,3.7,65,Delivery
Polar Bear,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400.0,Yes,No,3.8,71,Delivery
Kidambi's Kitchen,Banashankari,Quick Bites,South Indian,300.0,No,No,3.5,52,Delivery
Mane Thindi,Banashankari,Quick Bites,South Indian,200.0,No,No,3.7,130,Delivery
Kotian Karavali Restaurant,Banashankari,Quick Bites,"South Indian, Biryani",300.0,No,No,3.5,10,Delivery
Floured-Baked With Love,Banashankari,"Takeaway, Delivery",Bakery,400.0,No,No,3.8,45,Delivery
Cakes & Slices,Banashankari,Bakery,"Bakery, Desserts",300.0,No,No,3.5,13,Delivery
Spice 9,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300.0,No,No,3.4,8,Delivery
Naveen Kabab & Biriyani Mane,Banashankari,Quick Bites,Biryani,300.0,No,No,3.2,9,Delivery
Katriguppe Donne Biryani,Banashankari,Quick Bites,North Indian,300.0,No,No,3.2,4,Delivery
Atithi Point Ande Ka Funda,Banashankari,Quick Bites,North Indian,150.0,No,No,3.1,29,Delivery
Just Bake,Banashankari,Bakery,"Bakery, Desserts",400.0,No,No,3.4,8,Delivery
K27 - The Pub,Banashankari,Bar,"Chinese, North Indian",1000.0,No,No,3.1,30,Delivery
Bengaluru Coffee House,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300.0,Yes,No,4.1,201,Delivery
New Mangalore Lunch Home,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200.0,No,No,3.3,7,Delivery
Coffee Bytes,Banashankari,Quick Bites,"Fast Food, South Indian",100.0,No,No,3.1,6,Delivery
Parjanya Chat Zone,Banashankari,Quick Bites,"Street Food, Fast Food",200.0,No,No,3.3,17,Delivery
Kwality Wall's Swirl's Happiness Station,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200.0,No,No,2.9,25,Delivery
Ruchi Maayaka,Banashankari,Delivery,South Indian,100.0,No,No,3.3,8,Delivery
Anna Kuteera,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450.0,Yes,No,4.0,771,Delivery
Darbar,Banashankari,Bar,"North Indian, Chinese",800.0,No,No,3.0,98,Delivery
Vijayalakshmi,Basavanagudi,Quick Bites,South Indian,200.0,Yes,No,3.9,47,Delivery
Sri Udupi Food Hub,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500.0,Yes,Yes,4.1,175,Delivery
Udupi Upahar,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300.0,Yes,No,3.8,58,Delivery
House Of Kebabs,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650.0,Yes,No,3.8,540,Delivery
Roll N Rock,Kumaraswamy Layout,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400.0,Yes,No,3.8,124,Delivery
BOX8- Desi Meals,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500.0,Yes,No,4.1,340,Delivery
KFC,Banashankari,Quick Bites,"Burger, Fast Food",450.0,Yes,No,3.8,505,Delivery
Roll Over,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Yes,No,4.1,438,Delivery
Imperial Restaurant,Mysore Road,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750.0,Yes,No,3.7,264,Delivery
Lassi Shop,Kumaraswamy Layout,Beverage Shop,"Beverages, Juices, Ice Cream",150.0,Yes,No,3.9,169,Delivery
The Fortuna,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250.0,Yes,No,3.0,67,Delivery
Wahab,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350.0,Yes,No,3.7,97,Delivery
Al Diwan Biryanis And More,Basavanagudi,"Takeaway, Delivery",Biryani,300.0,Yes,No,3.3,12,Delivery
New Gowda's Fried Chicken,Banashankari,Quick Bites,Biryani,300.0,Yes,No,3.3,12,Delivery
Canton,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800.0,Yes,No,3.6,195,Delivery
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Dessert Parlor, Sweet Shop","Desserts, Mithai",300.0,Yes,No,3.3,13,Delivery
The Blue Wagon - Kitchen,Jayanagar,Cafe,"Cafe, Beverages",400.0,Yes,No,4.6,228,Delivery
HOT COFFEE,Basavanagudi,Quick Bites,"South Indian, Chinese",150.0,Yes,No,4.1,70,Delivery
Patio 805,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200.0,Yes,Yes,4.1,364,Delivery
Lassi Corner,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150.0,Yes,No,3.7,107,Delivery
Sagar Deluxe,Kumaraswamy Layout,Quick Bites,"South Indian, North Indian, Chinese, Juices",300.0,Yes,No,3.2,167,Delivery
Kanti Sweets,Banashankari,Sweet Shop,"Mithai, Street Food",400.0,Yes,No,4.0,115,Delivery
Vegetalia,Banashankari,"Takeaway, Delivery","Italian, Pizza",400.0,Yes,No,3.7,27,Delivery
Aramane Donne Biryani,Banashankari,Quick Bites,Biryani,200.0,Yes,No,3.5,57,Delivery
Ande Ka Funda,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250.0,Yes,No,3.8,120,Delivery
Cake Ghar,Basavanagudi,Bakery,Bakery,400.0,Yes,No,3.8,15,Delivery
Energy Addaa,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,Yes,No,4.2,64,Delivery
Bhattara Bhojana,Banashankari,Quick Bites,South Indian,150.0,Yes,No,3.6,66,Delivery
Tandoori Knight,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450.0,Yes,No,3.0,290,Delivery
Dev Sagar - Food Street,Basavanagudi,Quick Bites,Street Food,200.0,Yes,No,4.1,233,Delivery
Mitraa Da Pizza,Kumaraswamy Layout,Quick Bites,"Fast Food, Pizza",250.0,Yes,No,3.8,115,Delivery
Paradise Premium,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700.0,Yes,No,3.1,119,Delivery
Grazers,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650.0,Yes,Yes,3.9,291,Delivery
Shakes Theory,Jayanagar,Beverage Shop,"Beverages, Sandwich",300.0,Yes,No,4.5,155,Delivery
@Italy,Kumaraswamy Layout,Casual Dining,Italian,700.0,Yes,No,4.1,305,Delivery
Chilli Flakes,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500.0,Yes,No,3.6,46,Delivery
Calcutta Cafe,Kumaraswamy Layout,Quick Bites,"Bengali, Chinese, Sandwich",350.0,Yes,No,3.5,45,Delivery
Old Mumbai Ice Cream,Banashankari,Dessert Parlor,Ice Cream,150.0,Yes,No,3.9,38,Delivery
Donne Biriyani House,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400.0,Yes,No,3.9,441,Delivery
By 2 Coffee,Basavanagudi,Quick Bites,South Indian,100.0,Yes,No,3.9,25,Delivery
Kedia's Fun Food,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200.0,Yes,No,4.3,630,Delivery
Davangere Butter Dosa Hotel,Kumaraswamy Layout,Quick Bites,South Indian,150.0,Yes,No,3.8,25,Delivery
Just Shawarma,Kumaraswamy Layout,Quick Bites,Arabian,300.0,Yes,No,3.9,160,Delivery
Mini Punjabi Dhaba,Banashankari,Quick Bites,North Indian,350.0,Yes,No,4.2,287,Delivery
Mulabagilu Dosa,Basavanagudi,Quick Bites,South Indian,100.0,Yes,No,3.6,11,Delivery
Gokul Veg,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750.0,Yes,No,3.8,469,Delivery
Olive - Era,Kumaraswamy Layout,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,Yes,No,3.3,511,Delivery
Udupi Ruchi,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200.0,Yes,No,3.9,57,Delivery
Madhappa Hindu Military Hotel,Banashankari,Quick Bites,South Indian,300.0,Yes,No,3.4,14,Delivery
Gama Gama,Banashankari,Quick Bites,South Indian,200.0,Yes,No,3.9,264,Delivery
Pizza Hut,Banashankari,Casual Dining,"Pizza, Fast Food",750.0,Yes,No,3.8,693,Delivery
Mangalore Pearl,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650.0,Yes,No,3.8,242,Delivery
Asha Sweets Centre,Basavanagudi,Dessert Parlor,Fast Food,250.0,Yes,No,3.6,27,Delivery
Twiststick House,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500.0,Yes,No,4.1,163,Delivery
Cool Corner,Basavanagudi,Quick Bites,"Street Food, Fast Food",250.0,Yes,No,4.2,191,Delivery
Pizza Mane,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150.0,Yes,No,3.5,32,Delivery
Dal Tadkaa,Banashankari,Casual Dining,North Indian,500.0,Yes,No,2.5,247,
Chutney Chang,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500.0,Yes,Yes,4.1,2339,Delivery
Mystique Palate,Jayanagar,Quick Bites,"Chinese, Fast Food",300.0,Yes,No,4.1,337,Delivery
Thamboola,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800.0,Yes,No,3.9,135,Delivery
Castle Rock,Uttarahalli,Casual Dining,"North Indian, Chinese",700.0,Yes,No,3.6,172,Delivery
Vietnamese Kitchen,Banashankari,Casual Dining,Vietnamese,700.0,Yes,No,3.6,105,Delivery
C Corner,Kumaraswamy Layout,Quick Bites,"Fast Food, Street Food",200.0,Yes,No,3.2,36,Delivery
Paratha Merchant,Kumaraswamy Layout,Quick Bites,North Indian,300.0,Yes,No,3.1,39,Delivery
North Rasoe,Kumaraswamy Layout,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500.0,Yes,No,3.1,5,Delivery
Toscano,Jayanagar,Casual Dining,"Italian, Salad",1300.0,Yes,Yes,4.3,1129,Delivery
Lord Of The Kitchen,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",350.0,Yes,No,3.9,56,Delivery
Stoned Monkey,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500.0,Yes,No,4.3,860,Delivery
Central Jail Restaurant,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700.0,Yes,No,3.8,412,Delivery
Bella,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000.0,Yes,Yes,3.9,142,Delivery
Vennela Andhra Meals,Jayanagar,Quick Bites,Andhra,400.0,Yes,No,3.0,23,Delivery
New Prashanth Hotel,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750.0,Yes,No,3.6,143,Delivery
The Grillo,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,Yes,Yes,2.8,80,Delivery
Re Malnad Nati Style Hotel,JP Nagar,Casual Dining,South Indian,400.0,Yes,No,3.6,16,Delivery
Karma Kaapi,Jayanagar,Beverage Shop,"Beverages, Tea",250.0,Yes,No,4.4,181,Delivery
Tiwari's,Jayanagar,Quick Bites,"North Indian, Street Food",200.0,Yes,No,3.8,70,Delivery
Pizza Stop,Basavanagudi,Quick Bites,"Pizza, Italian",600.0,Yes,No,3.8,164,Delivery
Biggies Burger 'n' More,Kumaraswamy Layout,Quick Bites,"Cafe, Burger, Beverages",650.0,Yes,No,3.6,58,Delivery
Kollapuri's,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450.0,No,No,3.9,206,Delivery
Kadamba Classic,Mysore Road,Quick Bites,South Indian,300.0,No,No,3.6,16,Delivery
RS Shiv Sagar,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450.0,No,No,3.7,217,Delivery
Kholi Mane,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450.0,No,No,3.6,46,Delivery
Harshi Super Sandwich,Basavanagudi,Quick Bites,"Fast Food, Street Food",150.0,No,No,3.8,148,Delivery
Cake Yard,Basavanagudi,Dessert Parlor,Desserts,250.0,No,No,3.4,30,Delivery
Sri Udupi Veg,Jayanagar,Quick Bites,South Indian,250.0,No,No,3.3,4,Delivery
Cake Art,Basavanagudi,"Bakery, Quick Bites",Bakery,400.0,No,No,3.5,15,Delivery
Potato House,Uttarahalli,Quick Bites,Street Food,200.0,Yes,No,3.4,9,Delivery
Matru Sagar,Mysore Road,Quick Bites,"South Indian, North Indian",300.0,Yes,No,3.7,31,Delivery
Ugadi,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0,Yes,No,2.9,177,
Sri Krishna Sweets,Basavanagudi,Sweet Shop,"Mithai, Desserts",250.0,Yes,No,3.7,22,Delivery
In Time Cane Juice,Kumaraswamy Layout,Beverage Shop,"Juices, Beverages",100.0,Yes,No,3.5,10,Delivery
Subway,Banashankari,Quick Bites,"Salad, Fast Food",600.0,Yes,No,3.7,136,Delivery
Daal Roti,Kumaraswamy Layout,Quick Bites,"North Indian, Chinese",250.0,Yes,No,2.9,35,Delivery
The Lassi Park,Jayanagar,Quick Bites,"Juices, Desserts",200.0,Yes,No,4.1,185,Delivery
Cafe Coffee Day,Jayanagar,Cafe,"Cafe, Fast Food",900.0,Yes,No,3.2,17,Delivery
A2B - Adyar Ananda Bhavan,Mysore Road,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400.0,Yes,No,3.8,155,Delivery
Srikrishna Bhavan,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300.0,Yes,No,3.8,42,Delivery
Green Gardenia,Banashankari,Casual Dining,"North Indian, Chinese",700.0,Yes,No,3.8,160,Delivery
J Spice,Banashankari,Casual Dining,"North Indian, Chinese",750.0,Yes,No,3.8,59,Delivery
Karavali Family Restaurant,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500.0,Yes,No,3.5,90,Delivery
Karavali Lunch Home,Kumaraswamy Layout,Quick Bites,"South Indian, Mangalorean",350.0,Yes,No,3.7,51,Delivery
Hatti Kaapi,Jayanagar,Quick Bites,"South Indian, Beverages",200.0,Yes,No,4.0,89,Delivery
Kolkata Kathi Roll's,Banashankari,Quick Bites,"Fast Food, Rolls",250.0,Yes,No,3.6,18,Delivery
Upahara Darshini,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600.0,Yes,No,3.9,40,Delivery
The Chaat Shop,Basavanagudi,Quick Bites,Fast Food,200.0,Yes,No,2.5,35,Delivery
Anda Ka Funda,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250.0,Yes,No,3.4,89,Delivery
Shri Vinayaka Ice N Juice,Basavanagudi,Quick Bites,"Beverages, Fast Food",150.0,Yes,No,3.2,11,Delivery
Ibaco,Jayanagar,Dessert Parlor,Desserts,300.0,Yes,No,3.9,33,Delivery
Jalaram Sweets,Jayanagar,Sweet Shop,"Desserts, Mithai",250.0,Yes,No,3.8,32,Delivery
Samskruti - Sanman Gardenia,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550.0,Yes,No,4.1,139,Delivery
Bendakaluru Bytes,Vijay Nagar,Quick Bites,Fast Food,300.0,Yes,No,3.2,154,Delivery
Cocoa Bakes,Banashankari,Bakery,"Bakery, Desserts",350.0,Yes,No,3.6,14,Delivery
Chumma Delicious,Banashankari,Quick Bites,"South Indian, Fast Food",200.0,Yes,No,3.7,237,Delivery
New Prashanth Hotel,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650.0,Yes,No,3.9,388,Delivery
Dwaraka Grand,Kumaraswamy Layout,Casual Dining,"South Indian, Chinese, Street Food, Juices",500.0,Yes,No,3.9,128,Delivery
Gufha - The President Hotel,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai",1200.0,Yes,Yes,4.1,1875,Delivery
Tanna's Kitchen,Kumaraswamy Layout,Quick Bites,"Italian, Chinese, Street Food",250.0,Yes,No,3.1,7,Delivery
Shree Mandarathi Grand,Uttarahalli,Casual Dining,"South Indian, North Indian",400.0,Yes,No,3.7,38,Delivery
Mojo Pizza - 2X Toppings,Banashankari,Delivery,Pizza,600.0,Yes,No,4.2,179,Delivery
Iceberg Icecreams,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250.0,Yes,No,4.0,43,Delivery
South Kitchen,Basavanagudi,Quick Bites,South Indian,100.0,Yes,No,4.3,275,Delivery
Chung Wah,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850.0,Yes,No,3.7,323,Delivery
Shanthi Sagar,Uttarahalli,Casual Dining,"South Indian, North Indian, Chinese",400.0,Yes,No,3.1,28,Delivery
Millet Mama,Basavanagudi,Quick Bites,"South Indian, Healthy Food",200.0,Yes,No,3.9,18,Delivery
Bangarpet Chat Express,Basavanagudi,Quick Bites,"Street Food, Fast Food",100.0,Yes,No,3.3,6,Delivery
Prems Graama Bhojanam,Jayanagar,Casual Dining,South Indian,400.0,Yes,No,4.3,322,Delivery
Java City,Jayanagar,Cafe,"Cafe, American, Pizza",450.0,Yes,No,2.6,157,Delivery
Kamat Bugle Rock,Basavanagudi,Quick Bites,"South Indian, Fast Food",300.0,Yes,No,3.9,543,Delivery
